mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__class_weight,param_tfidf__max_features,param_tfidf__ngram_range,param_tfidf__stop_words,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
75.22493537267049,1.886630789472179,6.396703243255615,0.05081792633621953,0.1,,5000,"(1, 1)",,"{'model__C': 0.1, 'model__class_weight': None, 'tfidf__max_features': 5000, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': None}",0.22084165738003445,0.21947248346393466,0.22289396213089657,0.22106936765828858,0.0014060625982356507,64
60.85292077064514,2.135525190855339,5.984844605127971,0.042116824579123566,0.1,,5000,"(1, 1)",english,"{'model__C': 0.1, 'model__class_weight': None, 'tfidf__max_features': 5000, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.23106392923557595,0.2292699389549747,0.2333525361309876,0.23122880144051275,0.001670785655186946,62
100.43389638264973,4.781041072521704,11.150567611058554,0.2977332728472074,0.1,,5000,"(1, 2)",,"{'model__C': 0.1, 'model__class_weight': None, 'tfidf__max_features': 5000, 'tfidf__ngram_range': (1, 2), 'tfidf__stop_words': None}",0.2129290189315751,0.2133135580047715,0.2153433695926319,0.21386198217632615,0.0010591975209548708,66
70.47296396891277,0.8091415502400674,8.723463853200277,0.3468381584356612,0.1,,5000,"(1, 2)",english,"{'model__C': 0.1, 'model__class_weight': None, 'tfidf__max_features': 5000, 'tfidf__ngram_range': (1, 2), 'tfidf__stop_words': 'english'}",0.23403037706457824,0.23227205343900825,0.2370394845319142,0.23444730501183356,0.0019684971410195997,61
75.04341173171997,1.1007230573437388,6.440179109573364,0.1873470747182651,0.1,,10000,"(1, 1)",,"{'model__C': 0.1, 'model__class_weight': None, 'tfidf__max_features': 10000, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': None}",0.20847120360157195,0.20626430167165638,0.21185817408037635,0.2088645597845349,0.002300564995280657,67
62.98596302668253,4.020414028490939,5.907560427983602,0.28205148607456426,0.1,,10000,"(1, 1)",english,"{'model__C': 0.1, 'model__class_weight': None, 'tfidf__max_features': 10000, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.2149358399630239,0.21554504180417378,0.21885049095721257,0.21644379090813673,0.0017198712288000449,65
121.9011082649231,6.50959336540647,11.34369953473409,0.20642902442898592,0.1,,10000,"(1, 2)",,"{'model__C': 0.1, 'model__class_weight': None, 'tfidf__max_features': 10000, 'tfidf__ngram_range': (1, 2), 'tfidf__stop_words': None}",0.20033305863514017,0.19904290978856698,0.20316147588621783,0.20084581476997498,0.0017200457000784983,70
94.66663138071696,2.4572985714639093,9.138849337895712,0.38221954721973983,0.1,,10000,"(1, 2)",english,"{'model__C': 0.1, 'model__class_weight': None, 'tfidf__max_features': 10000, 'tfidf__ngram_range': (1, 2), 'tfidf__stop_words': 'english'}",0.2199614533352093,0.21992332516394655,0.22466146060645156,0.22151541303520247,0.0022246460287399547,63
106.5133220354716,13.782654431369965,6.714699983596802,0.03787055578459196,0.1,,20000,"(1, 1)",,"{'model__C': 0.1, 'model__class_weight': None, 'tfidf__max_features': 20000, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': None}",0.1971238721832586,0.19587185682663447,0.20041583616559255,0.1978038550584952,0.0019163715003761266,71
104.05085786183675,6.668127433086128,6.278050899505615,0.19054600766568727,0.1,,20000,"(1, 1)",english,"{'model__C': 0.1, 'model__class_weight': None, 'tfidf__max_features': 20000, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.20332183523920114,0.20367728149203884,0.2061467507447361,0.20438195582532537,0.0012563071122268245,69
