model,category,precision,recall,f1_score,support
logistic_regression,U.S. NEWS,0.18041237113402062,0.2545454545454545,0.21116138763197587,275.0
logistic_regression,GOOD NEWS,0.2132701421800948,0.32142857142857145,0.2564102564102564,280.0
logistic_regression,ARTS,0.22541966426858512,0.31125827814569534,0.2614742698191933,302.0
logistic_regression,FIFTY,0.21814254859611232,0.3607142857142857,0.2718707940780619,280.0
logistic_regression,ARTS & CULTURE,0.24477611940298508,0.30597014925373134,0.27197346600331673,268.0
logistic_regression,IMPACT,0.28824833702882485,0.37302725968436157,0.3252032520325203,697.0
logistic_regression,PARENTS,0.29979035639413,0.36666666666666664,0.32987312572087657,780.0
logistic_regression,CULTURE & ARTS,0.3348623853211009,0.3395348837209302,0.3371824480369515,215.0
logistic_regression,WEIRD NEWS,0.2992021276595745,0.40540540540540543,0.34429992348890587,555.0
logistic_regression,TASTE,0.2900641025641026,0.431980906921241,0.34707574304889743,419.0
logistic_regression,HEALTHY LIVING,0.32787958115183247,0.37471952131638,0.34973821989528797,1337.0
logistic_regression,WOMEN,0.3029682702149437,0.42105263157894735,0.3523809523809524,703.0
logistic_regression,ENVIRONMENT,0.3364485981308411,0.3737024221453287,0.3540983606557377,289.0
logistic_regression,GREEN,0.32142857142857145,0.42938931297709926,0.36764705882352944,524.0
logistic_regression,WORLDPOST,0.31926863572433195,0.43992248062015504,0.3700081499592502,516.0
logistic_regression,EDUCATION,0.31402439024390244,0.5073891625615764,0.3879472693032015,203.0
logistic_regression,LATINO VOICES,0.34448160535117056,0.4557522123893805,0.3923809523809524,226.0
logistic_regression,WORLD NEWS,0.3914780292942743,0.44545454545454544,0.4167257264351524,660.0
logistic_regression,COLLEGE,0.37542662116040953,0.48034934497816595,0.421455938697318,229.0
logistic_regression,STYLE,0.3694968553459119,0.5222222222222223,0.43278084714548803,450.0
logistic_regression,THE WORLDPOST,0.4200507614213198,0.451568894952251,0.4352399737015122,733.0
logistic_regression,BLACK VOICES,0.3968253968253968,0.49073064340239914,0.43881033642125794,917.0
logistic_regression,MONEY,0.3905579399141631,0.5185185185185185,0.4455324357405141,351.0
logistic_regression,COMEDY,0.44029850746268656,0.49166666666666664,0.4645669291338583,1080.0
logistic_regression,SCIENCE,0.4218181818181818,0.5260770975056689,0.4682139253279516,441.0
logistic_regression,BUSINESS,0.452991452991453,0.48664440734557596,0.469215291750503,1198.0
logistic_regression,TECH,0.40484429065743943,0.5625,0.4708249496981891,416.0
logistic_regression,MEDIA,0.42947903430749684,0.5738539898132428,0.49127906976744184,589.0
logistic_regression,RELIGION,0.459214501510574,0.5925925925925926,0.5174468085106383,513.0
logistic_regression,PARENTING,0.5532601678502259,0.4891552511415525,0.5192365949712209,1752.0
logistic_regression,CRIME,0.48419864559819414,0.6025280898876404,0.5369211514392991,712.0
logistic_regression,WELLNESS,0.7065333809353802,0.551407077180273,0.6194053208137715,3589.0
logistic_regression,FOOD & DRINK,0.6457286432160804,0.6080441640378549,0.6263200649878148,1268.0
logistic_regression,ENTERTAINMENT,0.7223230490018149,0.572991649870429,0.6390494540783558,3473.0
logistic_regression,QUEER VOICES,0.720704845814978,0.644602048857368,0.6805324459234608,1269.0
logistic_regression,SPORTS,0.6703703703703704,0.7133004926108374,0.6911694510739856,1015.0
logistic_regression,HOME & LIVING,0.6966292134831461,0.7200929152148664,0.7081667618503712,861.0
logistic_regression,POLITICS,0.8749494131930392,0.6073886781851383,0.7170218058204129,7119.0
logistic_regression,DIVORCE,0.7361319340329835,0.7167883211678832,0.7263313609467456,685.0
logistic_regression,TRAVEL,0.7435233160621761,0.7247474747474747,0.7340153452685422,1980.0
logistic_regression,WEDDINGS,0.7506666666666667,0.7701778385772914,0.7602970965563808,731.0
logistic_regression,STYLE & BEAUTY,0.8129855715871254,0.7482124616956077,0.7792553191489362,1958.0
